,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long
1,Joaquim Elias,R. São José,Centro,1869,1869, 500 , 500 ,A,L,street,"-23,546421","-46,635722"
2,Club Ginástico Português,R. Marechal Deodoro,Centro,1878,1910,,,A,L,street,"-23,55045","-46,634272"
3,"Germania, Salão","R. 11 de Junho, 9 = D. José de Barros",Centro,1886,1916,,,A,L,street,"-23,542626","-46,638684"
4,Club Internacional,"R. 15 de Novembro, 17A",Centro,1890,1911,,,A,L,exact,"-23,547951","-46,634215"
5,"Barra Funda, 74","R. Barra Funda, 74",Barra Funda,1897,1897,,,A,L,street,"-23,530159","-46,654885"
6,Centro Dramático Recreativo; Grêmio Dramático Gil Vicente,"R. Líbero Badaró, 20",Centro,1897,1901,,,A,L,street,"-23,547304","-46,636223"
7,Steinway; Ibach; Carlos Gomes; Conservatorio,"R. São João, 95, 85, 61",Centro,1897,1930,,,A,L,exact,"-23,544333","-46,63698"
8,Eden Club,"R. Florencio de Abreu, 20-22",Centro,1900,1909,,,A,L,street,"-23,542874","-46,632868"
9,Excelsior,"R. Florencio de Abreu, 29, 33",Centro,1901,1907,,,A,L,street,"-23,541932","-46,633105"
10,Familiar Club,"R. General Ozorio, 34",Campos Elíseos,1901,1901,,,A,L,street,"-23,538423","-46,643648"
11,Liga Democratica,R. Florencio de Abreu,Centro,1901,1901,,,A,L,street,"-23,542025","-46,632628"
12,Nasi; Cambucy,"R. dos Pescadores, 44",Cambuci,1901,1909,,,A,L,street,"-23,559632","-46,616338"
13,"Recreio Artistico, Sociedade",,,1901,1902,,,A,L,,,
14,Andrea Maggi; Gargi,"R. dos Imigrantes, 180",Bom Retiro,1902,1902,,,A,L,street,"-23,529652","-46,639898"
15,Casino Penteado,"R. Rodrigues dos Santos, 2 ",Pari,1902,1904,,,A,L,street,"-23,535464","-46,620759"
16,Cercle Français,"R. Marechal Deodoro, 8",Centro,1902,1905,,,A,L,street,"-23,549381","-46,634023"
17,"Lega Lombarda, Salã da","Largo de São Paulo, 18-20",Liberdade,1902,1931,,,A,L,street,"-23,557383","-46,633934"
18,Liga de Resistencia,,,1902,1902,,,A,L,,,
19,Grêmio Dramático da Lapa,,Lapa,1903,1903,,,A,L,neighb,"-23,51932","-46,70191"
20,Liceo Español,"R. do Gazometro, 54",Brás,1903,1905,,,A,L,street,"-23,544388","-46,623526"
21,"Popular, Theatro; Eden Theatre; Popolare; Popular do Braz","R. do Gazometro, 114, 112",Brás,1903,1916,,,A,H,exact,"-23,544267","-46,62189"
22,"Celso Garcia, Salão; Classes Laboriosas","R. do Carmo, 23, 39",Centro,1904,1931,,,A,L,street,"-23,549178","-46,631886"
23,"Guarany, Theatro","R. do Paraíso, 32",Paraíso,1904,1908,,,A,L,street,"-23,572848","-46,640619"
24,Sociedade Recreativa e Dançante Pérola Internactional,R. Passos,Belenzinho,1904,1910,,,A,L,street,"-23,537998","-46,594249"
25,"Alhambra, Salão; Centro Republicano Português; Galeria de Cristal","R. Marechal Deodoro, 2",Centro,1905,1921,,,A,L,exact,"-23,5491","-46,633848"
26,Bevilacqua,"R. São Bento, 14",Centro,1906,1909,,,A,L,exact,"-23,54842","-46,635952"
27,Cercle Français,"R. São Bento, 79",Centro,1906,1925,,,A,L,exact,"-23,544879","-46,634672"
28,"Internacional, Salão, Theatro; Star",R. Sete,Lapa,1906,1911,,,A,H,street,"-23,51968","-46,701565"
29,Lyra; Nordlyset,"Largo do Paysandú, 20",Santa Ifigênia,1906,1920,,,A,H,street,"-23,542503","-46,637444"
30,"Minerva, Theatro/Salão","Av. da Intendencia, 250",Belenzinho,1906,1908,,,A,H,street,"-23,537814","-46,601308"
31,"Artistico, Salão","R. Boa Vista, 23 or 22",Centro,1907,1907,,,A,L,street,"-23,545354","-46,633767"
32,"Deutschen Turnverein, Salão do","R. Bom Retiro, 18-20",Bom Retiro,1907,1907,,,A,L,street,"-23,536559","-46,636422"
33,Grêmio Dramático e Musical Luso-Brasileiro; Real Cinema; Bijou Bom Retiro,"R. da Graça, 116, 132, 144",Bom Retiro,1907,1940,,,A,H,street,"-23,526878","-46,640322"
34,Actos do Lyceu,Al. Nothmann,Campos Elíseos,1908,2012, 600-725 , 663 ,A,H,exact,"-23,532103","-46,643695"
35,"Apollo, Salão","R. Vergueiro, 145, 159",Paraíso,1908,1909,,,A,H,street,"-23,566167","-46,639551"
36,Correio Paulistano,R. do Rosário 8-12,Centro,1908,1911,,,A,L,exact,"-23,545887","-46,634481"
37,Grupo de Studi Sociali do Bom Retiro,"R. dos Imigrantes, 195",Bom Retiro,1908,1909,,,A,L,street,"-23,529491","-46,639545"
38,Gentil Theatre,"R. São João, 135-137",Santa Ifigênia,1909,1909, 130 , 130 ,A,H,exact,"-23,543641","-46,638263"
39,Giuseppe Garibaldi; Apollo,"R. Carlos Petit, 2",Vila Mariana,1909,1913, 150 , 150 ,A,H,exact,"-23,584685","-46,635822"
40,Instituto Histórico,R. Benjamin Constant,Centro,1909,1909,,,A,L,exact,"-23,549549","-46,635499"
41,Itália Fausta,"R. Florencio de Abreu, 45",Centro,1909,1921,,,A,H,street,"-23,5415","-46,633"
42,"Minerva, Theatro",Largo do Cambucy,Cambuci,1909,1909,,,A,L,street,"-23,56265","-46,620886"
43,"Turnerschaft, Salão","R. Bom Retiro, 52",Bom Retiro,1910,1910,,,A,L,street,"-23,535456","-46,636427"
44,Centro Ipiranga,"R. Bom Pastor, 109",Ipiranga,1912,1939, 200 , 200 ,A,H,exact,"-23,589547","-46,605963"
45,Consertorio,,Moóca,1912,1912,,,A,L,neighb,"-23,553783","-46,61565"
46,Ginásio São Bento,Largo de São Bento,Centro,1912,1912,,,A,L,exact,"-23,54357","-46,634174"
47,Oberdan,"R. Brigadeiro Machado, 5",Brás,1912,1922,,,A,L,street,"-23,541266","-46,613361"
48,"Gil Vicente, Salão","Av. Rangel Pestana, 265, 305",Brás,1914,1927,,,A,L,street,"-23,540958","-46,614144"
49,"Internacional, Salão","Largo do Riachuelo, 56",Bexiga,1914,1920,,,A,L,street,"-23,549137","-46,638291"
50,Federação Espanhol,"R. do Gazometro, 49",Brás,1920,1931,,,A,L,street,"-23,543795","-46,623702"
51,Ivonette Theatro,"Av. Celso Garcia, 238",Belenzinho,1920,1920,,,A,L,street,"-23,538076","-46,601937"
52,"União Lapa, Salão do",R. 12 de Outubro,Lapa,1920,1920,,,A,L,street,"-23,517469","-46,70305"
53,Sociedade Italiana,"R. Moóca, 508",Alto da Moóca,1921,1921,,,A,L,street,"-23,554812","-46,59989"
