,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long,number
1,Joaquim Elias,rua são josé,Centro,1869,1869, 500 , 500 ,A,L,street,"-23,546421","-46,635722",
2,Club Ginástico Português,rua marechal deodoro,Centro,1878,1910,,,A,L,street,"-23,55045","-46,634272",
3,"Germania, Salão",rua 11 de junho,Centro,1886,1916,,,A,L,street,"-23,542626","-46,638684",9 = d. josé de barros
4,Club Internacional,rua 15 de novembro,Centro,1890,1911,,,A,L,exact,"-23,547951","-46,634215",17a
5,"Barra Funda, 74",rua barra funda,Barra Funda,1897,1897,,,A,L,street,"-23,530159","-46,654885",74
6,Centro Dramático Recreativo; Grêmio Dramático Gil Vicente,rua líbero badaró,Centro,1897,1901,,,A,L,street,"-23,547304","-46,636223",20
7,Steinway; Ibach; Carlos Gomes; Conservatorio,rua são joão,Centro,1897,1930,,,A,L,exact,"-23,544333","-46,63698","95, 85, 61"
8,Eden Club,rua florencio de abreu,Centro,1900,1909,,,A,L,street,"-23,542874","-46,632868",20-22
9,Excelsior,rua florencio de abreu,Centro,1901,1907,,,A,L,street,"-23,541932","-46,633105","29, 33"
10,Familiar Club,rua general ozorio,Campos Elíseos,1901,1901,,,A,L,street,"-23,538423","-46,643648",34
11,Liga Democratica,rua florencio de abreu,Centro,1901,1901,,,A,L,street,"-23,542025","-46,632628",
12,Nasi; Cambucy,rua dos pescadores,Cambuci,1901,1909,,,A,L,street,"-23,559632","-46,616338",44
13,"Recreio Artistico, Sociedade",,,1901,1902,,,A,L,,,,
14,Andrea Maggi; Gargi,rua dos imigrantes,Bom Retiro,1902,1902,,,A,L,street,"-23,529652","-46,639898",180
15,Casino Penteado,rua rodrigues dos santos,Pari,1902,1904,,,A,L,street,"-23,535464","-46,620759",2
16,Cercle Français,rua marechal deodoro,Centro,1902,1905,,,A,L,street,"-23,549381","-46,634023",8
17,"Lega Lombarda, Salã da",largo de são paulo,Liberdade,1902,1931,,,A,L,street,"-23,557383","-46,633934",18-20
18,Liga de Resistencia,,,1902,1902,,,A,L,,,,
19,Grêmio Dramático da Lapa,,Lapa,1903,1903,,,A,L,neighb,"-23,51932","-46,70191",
20,Liceo Español,rua do gazometro,Brás,1903,1905,,,A,L,street,"-23,544388","-46,623526",54
21,"Popular, Theatro; Eden Theatre; Popolare; Popular do Braz",rua do gazometro,Brás,1903,1916,,,A,H,exact,"-23,544267","-46,62189","114, 112"
22,"Celso Garcia, Salão; Classes Laboriosas",rua do carmo,Centro,1904,1931,,,A,L,street,"-23,549178","-46,631886","23, 39"
23,"Guarany, Theatro",rua do paraíso,Paraíso,1904,1908,,,A,L,street,"-23,572848","-46,640619",32
24,Sociedade Recreativa e Dançante Pérola Internactional,rua passos,Belenzinho,1904,1910,,,A,L,street,"-23,537998","-46,594249",
25,"Alhambra, Salão; Centro Republicano Português; Galeria de Cristal",rua marechal deodoro,Centro,1905,1921,,,A,L,exact,"-23,5491","-46,633848",2
26,Bevilacqua,rua são bento,Centro,1906,1909,,,A,L,exact,"-23,54842","-46,635952",14
